name,type,lat,lon,cuisine,source
Unknown,restaurant,12.9497553,77.6998051,,OSM
Domino's,fast_food,12.9858685,77.6687185,pizza,OSM
Cafe Coffee Day,cafe,12.9858451,77.6686567,coffee_shop,OSM
Ruchi Restaurant,restaurant,12.973597,77.678189,indian,OSM
Srinidhi Sagar,fast_food,12.9918361,77.7204816,indian,OSM
Chillys,restaurant,12.9916553,77.7207261,indian,OSM
Bhagini Restaurant,restaurant,12.989294,77.7125997,indian,OSM
Pizza Hut,restaurant,12.9972009,77.540616,pizza,OSM
ArmaDQ,restaurant,12.9773708,77.6954828,,OSM
BLR37 Bar & Kitchen,restaurant,12.9805079,77.6937246,,OSM
Ankur Family Restaurant,restaurant,12.9890678,77.7116566,indian,OSM
Spice Garden,restaurant,12.9570571,77.7091042,,OSM
Infusion Restaurant,restaurant,12.9656267,77.7018348,,OSM
Ullas Refreshment,restaurant,12.9745381,77.6096029,indian,OSM
Elements,restaurant,13.0015628,77.5993592,,OSM
Subway,fast_food,12.9729051,77.6074026,sandwich,OSM
Hungry Panda,restaurant,12.934729,77.6125976,chinese,OSM
Reddys,restaurant,12.9855001,77.6732164,,OSM
Bakers Park,fast_food,12.9854324,77.6791217,,OSM
Domino's,fast_food,12.980808,77.6406008,pizza,OSM
Kund,restaurant,12.980115,77.6405511,indian,OSM
Paratha Shop,fast_food,13.0301779,77.5708089,,OSM
Barista,cafe,13.0302354,77.5705086,coffee_shop,OSM
Cafe Coffee Day,cafe,12.9794141,77.7513286,coffee_shop,OSM
Chung WAH,restaurant,12.9792064,77.7513027,chinese,OSM
Highgates Hotel,restaurant,12.9753754,77.6028942,,OSM
McDonald's,fast_food,12.9670593,77.7167619,burger,OSM
Hotel Zaica,restaurant,12.9673994,77.7146901,indian;asian,OSM
Gangothri Restaurant,restaurant,12.9377655,77.6267552,,OSM
Pizza Hut,restaurant,12.9398542,77.6251855,pizza,OSM
Taco Bell,fast_food,12.9376227,77.6269262,tex-mex,OSM
Matthan,restaurant,12.9594188,77.6486258,,OSM
Beijing Bites,restaurant,12.9800208,77.7271185,chinese;thai,OSM
The Mark Boulevard,restaurant,12.9716416,77.7176798,,OSM
